INFO:tensorflow:step:  100,loss:0.832,accuracy:0.660
INFO:tensorflow:step:  200,loss:0.763,accuracy:0.680
INFO:tensorflow:step:  300,loss:0.549,accuracy:0.800
INFO:tensorflow:step:  400,loss:0.574,accuracy:0.820
INFO:tensorflow:step:  500,loss:0.445,accuracy:0.820
INFO:tensorflow:step:  600,loss:0.303,accuracy:0.910
INFO:tensorflow:step:  700,loss:0.229,accuracy:0.920
INFO:tensorflow:step:  800,loss:0.305,accuracy:0.910
INFO:tensorflow:step:  900,loss:0.188,accuracy:0.940
INFO:tensorflow:step: 1000,loss:0.463,accuracy:0.880
INFO:tensorflow:step: 1100,loss:0.364,accuracy:0.910
INFO:tensorflow:step: 1200,loss:0.223,accuracy:0.940
INFO:tensorflow:step: 1300,loss:0.273,accuracy:0.940
INFO:tensorflow:step: 1400,loss:0.330,accuracy:0.910
INFO:tensorflow:step: 1500,loss:0.343,accuracy:0.900
INFO:tensorflow:step: 1600,loss:0.465,accuracy:0.910
INFO:tensorflow:step: 1700,loss:0.298,accuracy:0.910
INFO:tensorflow:step: 1800,loss:0.420,accuracy:0.890
INFO:tensorflow:step: 1900,loss:0.306,accuracy:0.940
INFO:tensorflow:step: 2000,loss:0.236,accuracy:0.950
INFO:tensorflow:step: 2100,loss:0.178,accuracy:0.960
INFO:tensorflow:step: 2200,loss:0.223,accuracy:0.950
INFO:tensorflow:step: 2300,loss:0.430,accuracy:0.870
INFO:tensorflow:step: 2400,loss:0.424,accuracy:0.890
INFO:tensorflow:step: 2500,loss:0.320,accuracy:0.920
INFO:tensorflow:step: 2600,loss:0.325,accuracy:0.920
INFO:tensorflow:step: 2700,loss:0.226,accuracy:0.950
INFO:tensorflow:step: 2800,loss:0.346,accuracy:0.900
INFO:tensorflow:step: 2900,loss:0.413,accuracy:0.920
INFO:tensorflow:step: 3000,loss:0.333,accuracy:0.950
INFO:tensorflow:step: 3100,loss:0.263,accuracy:0.930
INFO:tensorflow:step: 3200,loss:0.326,accuracy:0.930
INFO:tensorflow:step: 3300,loss:0.187,accuracy:0.970
INFO:tensorflow:step: 3400,loss:0.273,accuracy:0.950
INFO:tensorflow:step: 3500,loss:0.312,accuracy:0.910
INFO:tensorflow:step: 3600,loss:0.184,accuracy:0.960
INFO:tensorflow:step: 3700,loss:0.271,accuracy:0.920
INFO:tensorflow:step: 3800,loss:0.248,accuracy:0.940
INFO:tensorflow:step: 3900,loss:0.299,accuracy:0.920
INFO:tensorflow:step: 4000,loss:0.226,accuracy:0.930
INFO:tensorflow:step: 4100,loss:0.290,accuracy:0.920
INFO:tensorflow:step: 4200,loss:0.262,accuracy:0.930
INFO:tensorflow:step: 4300,loss:0.357,accuracy:0.910
INFO:tensorflow:step: 4400,loss:0.230,accuracy:0.930
INFO:tensorflow:step: 4500,loss:0.334,accuracy:0.900
INFO:tensorflow:step: 4600,loss:0.230,accuracy:0.940
INFO:tensorflow:step: 4700,loss:0.424,accuracy:0.870
INFO:tensorflow:step: 4800,loss:0.409,accuracy:0.890
INFO:tensorflow:step: 4900,loss:0.141,accuracy:0.960
INFO:tensorflow:step: 5000,loss:0.189,accuracy:0.960
